pxcor, pycor, elevation, gradient
21,37,576.3733520507812,0.508511191015562
86,67,313.37864685058594,0.41674315102742665
37,-98,749.4303436279297,0.17964589422932123
38,-61,644.1637878417969,0.49965223616572785
15,34,622.5099182128906,0.6043933912326743
87,99,364.53448486328125,0.3281773005169224
55,88,460.76148986816406,0.39335311151771113
-12,-22,733.9840698242188,0.5095843194005337
95,-66,461.7039031982422,0.1758070774283363
98,4,328.6044006347656,0.29983865764761636
85,-42,453.7381591796875,0.347276224380267
97,-41,407.4137878417969,0.1694664611722821
49,39,464.7629623413086,0.386877704144111
84,34,420.3024139404297,0.4135098533421343
-59,3,652.1959533691406,0.5954712647102972
-98,-93,348.23291015625,0.23003838371343766
60,-12,469.4405822753906,0.35430711845168644
-68,89,501.41058349609375,0.4614149034116823
-40,0,774.9668273925781,0.41819363679862914
34,-30,644.7127990722656,0.47478578858952647
-84,50,572.8470764160156,0.5629038032803353
35,30,547.4273376464844,0.42064482435673134
67,-25,517.3575134277344,0.27181499753130445
83,-38,449.4359893798828,0.2570082152244042
-7,-84,558.1523742675781,0.3456120462731954
-100,35,456.79689025878906,0.36116599054215726
-2,-85,572.3830871582031,0.2980962788484377
74,-75,569.1880798339844,0.4384695489921447
31,-47,659.2803344726562,0.5996148091948388
70,16,472.7073516845703,0.5139795362169788
44,25,527.7478942871094,0.41322572155124726
-17,61,586.77490234375,0.4687202002332511
-13,-72,615.5684204101562,0.37357509033141967
62,-45,517.8042449951172,0.27655276762903164
-46,-91,461.3253479003906,0.3650807287056408
-77,-99,354.8035125732422,0.2640912089265837
-16,49,628.4643859863281,0.4440402438510741
-95,-39,585.8130798339844,0.3957158852139714
-89,38,519.7606353759766,0.43559941538081104
-94,-80,399.51866149902344,0.2786071806866691
93,-67,472.2596740722656,0.24346519784761617
47,-53,572.2041931152344,0.31512147439487603
-29,-54,546.7314453125,0.2726733485688887
-48,62,583.3504028320312,0.44032503129060974
6,51,646.2726440429688,0.49837401131811154
-64,22,613.9402465820312,0.5207934171838756
17,-51,770.9117736816406,0.19301889502119035
-79,34,552.0182495117188,0.384324669639695
98,93,309.3451843261719,0.43552803232112025
92,-74,494.0998992919922,0.18591026082734607
-73,-100,367.6948776245117,0.2719403456185016
4,4,785.6067810058594,0.43675782004016983
-49,-6,728.4060668945312,0.5075039493362572
-32,-99,466.6226806640625,0.26043059751007225
75,-94,576.2582397460938,0.23918308649807218
54,-76,657.7395324707031,0.4839424440966812
-71,-93,383.3596649169922,0.28096797032938875
-62,27,623.411865234375,0.4982817787583758
-35,-10,781.7202758789062,0.44729747998744973
76,-7,411.2177124023438,0.38684412048786915
-74,-60,517.5815734863281,0.3873707074360616
54,21,535.6884155273438,0.23336557999926133
-18,90,517.0719604492188,0.4128302858965628
-92,-66,460.8533401489258,0.4140144142711538
-58,78,546.7489318847656,0.383124691202094
-74,44,607.7410888671875,0.4964166841018308
-70,3,607.9819641113281,0.4012143384151072
66,-45,507.2116241455078,0.29684932894269833
33,25,578.1039123535156,0.4798729626678505
-43,4,754.7413635253906,0.3951037425927105
64,-61,575.4099426269531,0.3489355822514175
-35,-12,764.3893737792969,0.5059348728636345
-44,92,437.1787414550781,0.19942436741971797
56,47,413.4661865234375,0.3324860073359913
0,-89,585.6786804199219,0.3644693536237283
23,-29,694.3284301757812,0.5000738408503255
95,-71,478.661376953125,0.23350054227149375
-32,59,535.3731689453125,0.20711294136191447
-66,64,639.2197265625,0.32401243012622727
11,98,680.1464538574219,0.20425695522024362
-37,-18,703.4607238769531,0.5049438948247289
37,-34,647.5358734130859,0.48798518310374667
43,-57,603.1646881103516,0.4221174372102642
-74,-53,562.1332702636719,0.4300764984113503
12,-93,653.4766235351562,0.4229628240113035
-17,-21,726.1226196289062,0.4209962132183998
68,0,419.0742721557617,0.38729979094893724
50,-19,524.4613952636719,0.38752694504634
54,88,460.76148986816406,0.39335311151771113
-83,-94,354.21309661865234,0.1960912548927839
-36,-93,467.0561981201172,0.3059867948609776
-57,65,613.6542053222656,0.3631761932402061
-19,-28,689.206787109375,0.2989981102910032
67,-6,430.83448791503906,0.30872720677088694
60,-77,632.1003112792969,0.3898383288131474
81,36,428.6026153564453,0.37389093681653573
-89,-10,649.8391265869141,0.4040524645131023
-81,15,529.5494079589844,0.35299468501391895
83,80,314.376953125,0.3614686012065917
55,-5,475.4409484863281,0.4283657407907232
28,-73,728.4033813476562,0.10407318599275393
-63,-51,577.4317321777344,0.3424839729579141
54,25,511.4872741699219,0.3746291439347824
39,-7,535.9998779296875,0.37131522586695814
11,-24,746.4840393066406,0.512669512505757
33,-17,583.7198181152344,0.5184678330547874
-70,68,626.37109375,0.32194366029348137
95,18,354.3391571044922,0.4580358585670634
65,-39,498.74171447753906,0.3105666421413178
35,-10,548.3378601074219,0.4388385623400781
18,-79,681.2987976074219,0.5114977179963207
45,-64,632.3452758789062,0.39755774768800867
29,-30,670.4808044433594,0.4684283407290838
-82,-69,459.9199523925781,0.32335866756289694
33,-67,703.8539733886719,0.4527138223127668
15,-52,767.5696258544922,0.17674222671211462
-62,29,625.769775390625,0.5074247549853921
-64,-38,612.9323425292969,0.450073632308012
-61,-40,594.3203125,0.40994177195649084
-51,36,673.4732971191406,0.18178962580800492
-88,70,591.5518188476562,0.42583961669909687
79,82,330.1741180419922,0.3833338375948453
-6,35,718.5309143066406,0.2075107244725192
-19,-42,609.9889526367188,0.42164395438984736
25,23,618.2781372070312,0.5008323789367914
-41,-61,494.4445037841797,0.28664659445745283
97,13,327.4934539794922,0.4094624267565161
88,-89,559.2629699707031,0.3759300563825856
39,8,588.3642883300781,0.4825260737978806
